"id","echelle","indicateur","valeur"
"6","recoquartier","part_logh_rs","0"
"6","recoquartier","id_village_avenir",""
"6","recoquartier","id_pvd",""
"6","recoquartier","id_acv","acv-006"
"6","recoquartier","part_mur_beton_agglo","0.13"
"6","recoquartier","part_mur_pierre_meuliere","0.63"
"6","recoquartier","part_mur_briques","0"
"6","recoquartier","part_mur_autres_indetermines","0.25"
"6","recoquartier","part_toit_zinc_alu","0"
"6","recoquartier","part_toit_zinc_ardoises","0.75"
"6","recoquartier","part_toit_tuiles","0"
"6","recoquartier","part_toit_beton","0"
"6","recoquartier","part_toit_autres_indetermines","0.25"
"6","recoquartier","fid","6"
"6","recoquartier","clust","3"
"6","recoquartier","clust_bis","3bis"
"6","recoquartier","lib_clust_bis","Les Quartiers polarisés et fonctionnels"
"7","recoquartier","dep","Orne"
"7","recoquartier","epci","CU d'Alençon"
"7","recoquartier","insee_com","{61001}"
"7","recoquartier","commune","Alençon"
"7","recoquartier","nom_iris","Centre Ville-Saint-Léonard-Notre-Dame"
"7","recoquartier","insee_com_rattacht","61001"
"7","recoquartier","nom_com_rattacht","Alençon"
"7","recoquartier","nb_batiment_reco","3"
"7","recoquartier","somme_nlogh_reco","16"
"7","recoquartier","nb_logt_par_batiment","5.33"
"7","recoquartier","somme_nloccom_reco","0"
"7","recoquartier","part_nloghloue_reco","0.88"
"7","recoquartier","part_nloghpp_reco","0"
"7","recoquartier","part_nloghvac2a_reco","0.13"
"7","recoquartier","part_0_2_etages","0.33"
"7","recoquartier","part_3_5_etages","0.67"
"7","recoquartier","part_6_et_plus_etages","0"
"7","recoquartier","part_copro_reco","0"
"7","recoquartier","part_nloghlls_exo_fiscale_reco","0"
"7","recoquartier","part_nlogh_orga_hlm_reco","0.76"
"7","recoquartier","surface_ha","1"
"7","recoquartier","nb_copro_reco","0"
"7","recoquartier","somme_nlogh_copro_reco","0"
"7","recoquartier","part_syndic_pro_copro_reco","0"
"7","recoquartier","part_syndic_benevole_copro_reco","0"
"7","recoquartier","part_syndic_sans_info_copro_reco","0"
"7","recoquartier","somme_individus","49"
"7","recoquartier","somme_menages","34"
"7","recoquartier","tmm","1.48"
"7","recoquartier","part_men_pauvre","0.23"
"7","recoquartier","part_men_1ind","0.7"
"7","recoquartier","part_men_5ind","0.01"
"7","recoquartier","part_men_fmonoparentale","0.06"
"7","recoquartier","surface_par_individu","48.76"
"7","recoquartier","niveau_vie_individu","22706.95"
"7","recoquartier","ind_0_17_ans","0.09"
"7","recoquartier","ind_18_24_ans","0.17"
"7","recoquartier","ind_25_39_ans","0.23"
"7","recoquartier","ind_40_64_ans","0.32"
"7","recoquartier","ind_65_ans_et_plus","0.18"
"7","recoquartier","part_dpe_efg",""
"7","recoquartier","part_bat_0_300_m_ev","1"
"7","recoquartier","part_bat_300_850_m_ev","0"
"7","recoquartier","taux_impermeabilisation","94"
"7","recoquartier","qpv_lib",""
"7","recoquartier","part_qpv","0"
"7","recoquartier","part_abf","0"
"7","recoquartier","classification_ville","5"
"7","recoquartier","classification_ville_lib","Grande centralité"
"7","recoquartier","somme_nlogh_tout_bati","110"
"7","recoquartier","somme_loccom_tout_bati","12"
"7","recoquartier","densite_tous_logh_ha","111"
"7","recoquartier","densite_tous_loccom_ha","12"
"7","recoquartier","estim_pop","116"
"7","recoquartier","nb_loccom_1000_hab","103"
"7","recoquartier","part_logh_1p","0"
"7","recoquartier","part_logh_2p","0.56"
"7","recoquartier","part_logh_3p","0.38"
"7","recoquartier","part_logh_4p","0.06"
"7","recoquartier","part_logh_5p_et_plus","0"
